1921,98815819314	
1961,78526981975	
1979,45533975898	
1989,12827668675	
1995,43419987725	
1999,57081809835	
2002,5648590901	
2004,99914060848	
2006,96135743159	
2008,55668378675	
2009,92014718545	
2010,90213241406	
2011,36987265398	
2011,76939154234	
2011,99480696731	
2012,1048462836	
2011,72159121049	
2010,84875577986	
2009,52219547123	
2007,52650752495	
2004,22777715343	
1999,19637669191	
1990,63422620937	
1974,62854565058	
1935,92331854594	
1774,01337746455	
177,279211023168	
138,693913751515	
121,97188341309	
113,394018858815	
108,194951058334	
105,011818127685	
102,980067284355	
101,539137802005	
100,369496906302	
99,8119583970731	
99,5539028808431	
99,628574294705	
100,045898708836	
100,544995410806	
101,233009744817	
102,227968518155	
103,91905316611	
106,037639337063	
108,808797099692	
112,67545878005	
118,502175116569	
127,909205154322	
144,753517143566	
184,10082598626	
346,897766670756	
1944,29207847536	
1983,59942878691	
2001,03699157653	
2010,40990892786	
2016,28130444758	
2020,0576310568	
2023,02240533682	
2025,09723852822	
2026,99785518475	
2028,22825085142	
2029,22440655235	
2029,6628261673	
2030,00749206546	
2030,17550394008	
2030,15052741066	
2029,827557187	
2028,80140323435	
2027,43588263911	
2025,18835413185	
2022,01480858045	
2016,75604944193	
2008,0782338791	
1991,76681957587	
1953,01546471157	
1790,98950854587	
194,00579073267	
155,410507244507	
138,587355966078	
129,758350700408	
124,432693280081	
121,15156576068	
118,865921786265	
117,397191737282	
115,908079870704	
115,439436624588	
114,942760947816	
114,952834404044	
115,17622022588	
115,611985157197	
116,197004975954	
116,98833253836	
118,532201313988	
120,469372838292	
123,235110257005	
126,96627860337	
132,677540819083	
141,925817984559	
158,760385007348	
198,062368940528	
360,667176720285	
1957,95556646278	
1997,0587200433	
2014,3527473769	
2023,68472210271	
2029,50329498635	
2033,25088191103	
2036,00286490368	
2038,14938838157	
2039,91613450045	
2041,01241947152	
2041,9453872868	
2042,42353798707	
2042,58885999303	
2042,74764217524	
2042,61735067763	
2042,18338986417	
2041,0450534796	
2039,57693482694	
2037,27143617181	
2034,02741137238	
2028,73054180816	
2020,00492983088	
2003,60629225989	
1964,65530081172	
1802,50902539825	
205,697231397453	
166,94670740268	
150,079637222719	
141,309415585248	
135,840914432016	
132,49496153393	
130,160938980686	
128,669530116782	
127,140567165097	
126,539582700507	
126,090870831308	
126,025715982901	
126,167429797714	
126,48426633238	
126,98167537057	
127,836858336914	
129,184102393453	
131,15685117558	
133,900750333412	
137,579301077076	
143,14170708697	
152,301678445314	
169,050556470309	
208,224049542642	
370,871021693004	
1968,01961452408	
2007,01799592765	
2024,28039649351	
2033,51025217999	
2039,26634492495	
2043,06734790895	
2045,78516623326	
2047,79937344108	
2049,58661079706	
2050,55912386515	
2051,27314863989	
2051,67082050781	
2051,93489610189	
2052,00788385899	
2051,79082245446	
2051,15308112739	
2050,26255844037	
2048,73653413064	
2046,32668432775	
2043,07098201668	
2037,73198548875	
2028,9317597531	
2012,58197367391	
1973,74443887344	
1811,43128190751	
214,643308595097	
175,901393616345	
158,998110067617	
150,226919498755	
144,843501055958	
141,41641690571	
139,082093328683	
137,412327722794	
136,10586795187	
135,447985277688	
135,041642085013	
135,064378199319	
135,341527350029	
135,781460669487	
136,49492262497	
137,815866430603	
139,623431015469	
142,035991674883	
145,78480025077	
151,21478424851	
160,232830061549	
176,923931379577	
216,180661186927	
378,477666056959	
1975,74148294876	
2014,80942167496	
2031,83574974896	
2041,03071603832	
2046,82852661426	
2050,47642890625	
2053,24031104833	
2055,20527910857	
2056,87484081202	
2058,06209288607	
2058,86365301214	
2059,33346421681	
2059,44309684846	
2059,61047132385	
2059,61641914317	
2059,34147157613	
2058,36151821698	
2057,41924893094	
2055,68441526822	
2053,20502980066	
2049,65879616254	
2044,4121783665	
2035,48653872511	
2019,14054154674	
1980,16171770553	
1817,76197241775	
221,030528480079	
182,112253289668	
165,038277866641	
156,214806257474	
150,775179722325	
147,112448231736	
144,804376557934	
143,012323856099	
141,601395692541	
140,821776598492	
140,421072597051	
140,239019622789	
140,441964544361	
140,675944486379	
141,343988552739	
142,638136097504	
144,208372773146	
146,664774490968	
150,183680910153	
155,539583537843	
164,492033769415	
181,043906972242	
220,092749908768	
382,195703947781	
1979,30689244672	
2017,88880383432	
2034,71796481656	
2043,56296711596	
2048,9260362374	
2052,13970251458	
2054,51668714176	
2056,17235342697	
2057,47386971796	
2058,14285195866	
2058,64943190422	
2058,52110033255	
2058,19855100692	
2057,87986144448	
2057,35958217068	
2056,4468499481	
2054,72348104629	
2052,90154241573	
2050,19636554685	
2046,37002637513	
2040,61050274006	
2031,45993504413	
2014,63402619181	
1975,45993419893	
1813,052447819	
215,775992413939	
176,886796310234	
159,774025396207	
150,651720894201	
145,112501453522	
141,543400857362	
138,803989189754	
137,084284160617	
135,465840894366	
134,498644269359	
133,8553874933	
133,597110261802	
133,591389937649	
133,760476041437	
134,023816612616	
134,6942582757	
136,127372184606	
137,704845344674	
140,182754868567	
143,641928563244	
149,10981813597	
158,007329541787	
174,557966890243	
213,476788199717	
375,696792292626	
1972,73766122255	
2011,22373603942	
2028,05139674891	
2036,90597364393	
2042,25796246057	
2045,46611998667	
2047,89336252257	
2049,39671095479	
2050,77539983672	
2051,3599058963	
2051,84220675309	
2051,70208035449	
2051,39457394218	
2050,97605587841	
2050,44733209084	
2049,38816427274	
2047,67068804282	
2045,80230479739	
2042,95089808577	
2039,24121963438	
2033,4824863582	
2024,16576592794	
2007,38717889169	
1968,1527315637	
1805,59489002507	
208,362210550056	
169,445008898519	
152,221607484205	
143,14416026037	
137,482113494193	
133,873150048848	
131,179367767748	
129,315580402392	
127,649029332205	
126,63850826216	
125,929669385701	
125,727996831539	
125,663766467056	
125,759628080649	
126,022903995675	
126,611113432108	
127,907716976867	
129,54444063181	
131,992970480792	
135,344315368408	
140,8388745589	
149,674522670292	
166,216002866588	
205,109673035336	
367,165858027615	
1964,10844342729	
2002,48005409707	
2019,38539783246	
2028,15741036982	
2033,45330181083	
2036,70719723485	
2039,08409598743	
2040,57776642646	
2041,89772004621	
2042,44227470826	
2042,73580127788	
2042,60005168773	
2042,23404087714	
2041,75209199082	
2041,17155049935	
2040,05503195311	
2038,31322452648	
2036,40624751943	
2033,61806360525	
2029,77069016232	
2023,95927212824	
2014,57527283432	
1997,69041327475	
1958,35162685708	
1795,76518890011	
198,545700147214	
159,526033034823	
142,315593500208	
133,139339143335	
127,295534399541	
123,595326642837	
120,824878460506	
118,906002273228	
117,206659679904	
116,158969957911	
115,433305490956	
115,11392705318	
114,925151924944	
114,915692179602	
115,115655154917	
115,714881287706	
116,946361992776	
118,429030465421	
120,812708960975	
124,161175965227	
129,49942787191	
138,343224066339	
154,808648647378	
193,639412672578	
355,65328363609	
1952,46525827733	
1990,92825650246	
2007,78785952474	
2016,42243831417	
2021,76717213149	
2024,92597887863	
2027,15717698196	
2028,54550775652	
2029,80042610444	
2030,16822371415	
2030,39514377533	
2030,26921249304	
2029,89316818045	
2029,26865685056	
2028,56545081278	
2027,36495090056	
2025,64809523487	
2023,51837940463	
2020,58442609699	
2016,61167905966	
2010,70957302443	
2001,24448968939	
1984,20411323206	
1944,8058737429	
1782,0740119961	
184,762981495933	
145,710568861214	
128,298140398283	
118,97829966144	
113,132876357424	
109,293209581168	
106,419111358666	
104,361951531849	
102,64009371108	
101,498379395772	
100,53086794936	
99,9936792329694	
99,7379211797268	
99,6987200386497	
99,6598326204857	
100,192747474495	
101,333285158959	
102,613869702461	
104,904037189044	
108,139753699015	
113,290780514813	
121,970813105068	
138,283499659188	
176,929716045563	
338,871270707336	
1935,34054019153	
1973,7227008281	
1990,35843707316	
1998,82813969365	
2004,01041829041	
2007,04920181438	
2009,17292879199	
2010,39184824824	
2011,32160330459	
2011,60129761835	
2011,64557692594	
2011,21923329536	
2010,67605326658	
2009,9155925879	
2009,00241068204	
2007,42010805871	
2005,40327096406	
2003,15862941218	
1999,88396389435	
1995,66182195727	
1989,57942132295	
1979,81543599174	
1962,47741675064	
1922,80267627452	
1759,75731383799	
162,080528549347	
122,552464635937	
104,744111891913	
95,1298542000548	
88,8005888622225	
84,4112973179492	
81,0123146849057	
78,4614822274328	
76,1302588049669	
74,397496835134	
72,7366506383213	
71,4106043562789	
70,2374660192613	
69,1276939552119	
68,0628555685557	
67,3703219484162	
66,7450162833766	
66,2119809872961	
66,0296232013756	
66,2059875870998	
67,2525922964094	
70,0913776033001	
76,9983692236415	
98,7039437278467	
221,245241384687	
